title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
Integrative analysis of the embryonic origin of adult neural stem cells in forebrain subventricular zones,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag516/8774603?rss=1,,National Science Review Advance Access,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag516,Shaorong Gao,,"In the mammalian brain, adult neural stem cells (NSCs) located in ventricular-subventricular zone (V-SVZ) of lateral ventricles and dentate gyrus continuously generate new neurons and glia throughout life. The adult NSCs in V-SVZ are derived from ventricular radial glial cells (RGCs) which become quiescent during embryonic development. However, the origin and establishment of this adult NSC pool remain elusive, primarily due to the challenge of tracing the lineage from embryonic RGCs to their quiescent adult successors. Here, by leveraging Vcam1—a marker continuously expressed from embryonic RGCs to adult NSCs—we unravel the dynamic process and regulatory mechanism underlying the fate bifurcation that gives rise to quiescent seed cells. We demonstrate that Vcam1+ embryonic RGCs directly contribute to the adult NSC pool. A subpopulation of quiescent Vcam1+ RGCs emerges early and is maintained throughout development, while a parallel population of proliferative Vcam1+ progenitors actively replenishes this quiescent reservoir. Through the combinatory analysis of single-cell multi-omics and clonal lineage tracing of Vcam1+ cells, we identified the TGF-β/Smad3 pathway as a critical regulator of quiescence. Our work thus provides a mechanistic dissection of how the foundational adult NSC pool is established through precisely regulated fate decisions during embryogenesis, offering new insights into the principles of lifelong neurogenesis.",rss_oup
Coordinated operation of power distribution networks considering impacts from electric taxi fleets under multi-stakeholder interactions,https://www.sciencedirect.com/science/article/pii/S0306261926013917?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Peng Li,,,
Reliability-constrained optimal sizing and energy management of off-grid PV–battery–green hydrogen microgrids for industrial energy autonomy,https://www.sciencedirect.com/science/article/pii/S0306261926013644?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Saleh Ba-swaimi,,,
Modelling nonlinear heat pump part-load efficiency for optimal investment planning,https://www.sciencedirect.com/science/article/pii/S0306261926013772?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Yannick Werner,,,
Deep learning for scalable atomic electron tomography,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag561/8774596?rss=1,,National Science Review Advance Access,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag561,Jianwei Miao,,"Jianwei Miao; Deep learning for scalable atomic electron tomography, National Science Review, , nwag561, https://doi.org/10.1093/nsr/nwag561",openalex
Energy and environmental impacts of two-seater battery electric microcars for sustainable urban mobility,https://www.sciencedirect.com/science/article/pii/S0306261926014029?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Dongyao Jia,,,
Energy resources and geopolitical conflicts: ARDL analysis of Iraq's socioeconomic dynamics,https://www.sciencedirect.com/science/article/pii/S0301421526004350?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-29 00:00:00+00:00,,Foued Saâdaoui,,,
A life in paleomagnetism: an interview with lisa tauxe,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag554/8774590?rss=1,,National Science Review Advance Access,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag554,Weijie Zhao,,"Lisa introduced the field of paleomagnetism, shared several fascinating research stories, and recounted the challenges and setbacks, as well as the heartwarming moments, that she has experienced throughout her own scientific career.",crossref
Geopolitical risk exposure and resilience of energy support-chain trade: A multilayer network diagnosis,https://www.sciencedirect.com/science/article/pii/S0301421526004830?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-29 00:00:00+00:00,,Xiangyu Wang,,,
"The rise of renewable energy: How it shapes dependency, diversity, and geopolitical risk in the European Union",https://www.sciencedirect.com/science/article/pii/S0301421526005045?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-29 00:00:00+00:00,,Felix Müsgens,,,
Health and nutrition returns to clean cooking fuel access across the rural-urban divide,https://www.sciencedirect.com/science/article/pii/S0301421526004854?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-29 00:00:00+00:00,,Camille Massié Gamard,,,
Market power and distributed solar integration in microgrids under limited regulation,https://www.sciencedirect.com/science/article/pii/S0306261926013590?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Sebastian Zwickl-Bernhard,,,
A two-stage coordinated scheduling method for multiple battery swapping stations considering traffic demand assignment and distribution network constraints,https://www.sciencedirect.com/science/article/pii/S0306261926013619?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Qiuwei Wu,,,
"Building energy performance regulation, energy poverty, and health: Evidence from Türkiye",https://www.sciencedirect.com/science/article/pii/S0301421526005148?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-08-29 00:00:00+00:00,,Guillem Lopez Casasnovas,,,
Pulse-based state-of-charge and state-of-health estimation of randomly retired lithium-ion batteries for second-life applications,https://www.sciencedirect.com/science/article/pii/S0306261926013589?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Torsten Wik,,,
A physics-informed transformer-KAN network for privacy-enhanced multi-prosumer energy trading in distribution systems,https://www.sciencedirect.com/science/article/pii/S030626192601353X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Chengshan Wang,,,
Optimizing risk-aware bidding strategies for photovoltaic systems in electricity markets through integrated forecasting and risk propensity,https://www.sciencedirect.com/science/article/pii/S0306261926013838?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Yue Zhou,,,
Reasoning-enhanced probabilistic electricity price forecasting using parameter-efficient large language models,https://www.sciencedirect.com/science/article/pii/S0306261926013681?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Hongbin Sun,,,
Multiparametric optimization based decision making approach in energy systems planning under uncertainty,https://www.sciencedirect.com/science/article/pii/S030626192601370X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Efstratios N. Pistikopoulos,,,
A dynamic electrochemical impedance spectroscopy extraction method for PEM water electrolyzers considering time resolution,https://www.sciencedirect.com/science/article/pii/S0306261926013036?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Daniel Hissel,,,
Ultrahigh‑resolution quantum dot light‑emitting diodes,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag549/8774606?rss=1,,National Science Review Advance Access,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag549,Wei Huang,,"Next-generation near-eye augmented reality (AR)/virtual reality (VR) display hardware puts forward growing requirements for high-performance, high-resolution luminous sources. Benefiting from outstanding luminous efficiency, tunable emission wavelength and convenient fabrication procedures, quantum dot light-emitting diodes (QLEDs) have gained extensive application prospects. However, achieving ultrahigh resolution without compromising device performance requires a balance between them, which is a major challenge for practical applications. In this Perspective, we introduce advanced patterning techniques for ultrahigh-resolution QLEDs, elaborate on the latest advancements in display technology, and summarize the key challenges and prospective research trends.",rss_oup
Comfort-aware brain-emotional-learning coordination of battery storage and inverter air-conditioner fleets for microgrid frequency regulation,https://www.sciencedirect.com/science/article/pii/S0306261926013796?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,V.S.K.V. Harish,,,
Strategic interconnect design for enhanced thermal management and thermo-electrochemical uniformity in direct ammonia solid oxide fuel cells,https://www.sciencedirect.com/science/article/pii/S0306261926013966?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Sanggyu Kang,,,
Reducing carbon footprints in China's steel industry through sector-coupled energy system modeling and regionally differentiated hydrogen strategies,https://www.sciencedirect.com/science/article/pii/S0306261926014005?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Hongtao Ren,,,
Aggregated baseline load point-interval forecasting for virtual power plants in demand response programs: An adaptive decomposition and prediction system,https://www.sciencedirect.com/science/article/pii/S0306261926013486?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Zhiwu Li,,,
"Innovation–energy coupling under non-default power-system configurations: Transition-neutral in design, fossil-linked in financial structure",https://www.sciencedirect.com/science/article/pii/S0306261926013668?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Pouriya Jahangard,,,
Cooperative multi-EV aggregator strategy of V2G-enabled charging stations under shared interconnection limits,https://www.sciencedirect.com/science/article/pii/S0306261926013693?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Mahdi Jalili,,,
Unveil the coal-to-nuclear retrofitting potential in China by a safety-first assessment,https://www.sciencedirect.com/science/article/pii/S0306261926014066?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Yaoli Zhang,,,
Global rice methane emissions tripled over six decades amid declining emission intensity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag555/8774597?rss=1,,National Science Review Advance Access,2026-08-29 00:00:00+00:00,10.1093/nsr/nwag555,Shilong Piao,,"Rice paddies are among the largest anthropogenic sources of methane (CH4), yet substantial uncertainties persist in the long-term magnitude and spatiotemporal dynamics of the emissions. Here we show a spatially explicit global estimate of rice CH4 emissions from 1961 to 2020, leveraging a new high-resolution dataset and two Tier 3 modeling approaches (process-based and machine-learning-based). We find that global emissions have more than tripled over the past six decades, reaching a record high of 38.8 Tg CH4 yr−1 in 2020 based on the mean of the two Tier 3 estimates, both the rate and magnitude are substantially higher than conventional emission-factor-based inventories. Traditional rice-producing regions (e.g. Asia) dominated the increase due to expanded cultivation and intensified organic inputs, while Africa emerged as a rapidly growing source. Beyond trends in absolute emissions, the CH4 emission intensity (per unit of rice yield) declined across 70% of the global paddy area, mainly reflecting yield-driven efficiency gains. Notably, 44% of global rice production in the 2010 s occurs in countries with below-average emission intensity, with China being the largest contributor. By resolving long-term spatial heterogeneity with new data and models, this study provides a robust reassessment of the global rice methane budget and highlights pathways to reconcile food production with climate mitigation.",rss_oup
PMGT-Net: A physics-informed multi-scale graph transformer framework for explainable national energy dependency forecasting,https://www.sciencedirect.com/science/article/pii/S0306261926013802?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Yasin Ozkan,,,
Surrogate-conditioned optimizer ranking in block-scale urban energy design: A comparison of policy learning and Pareto search,https://www.sciencedirect.com/science/article/pii/S0306261926013899?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Wei Wang,,,
Communication-dependent flexibility planning in digitalized distribution systems via dynamic storage reservation,https://www.sciencedirect.com/science/article/pii/S0306261926013929?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Ming Zhou,,,
Generalizable photovoltaic power forecasting under complex weather conditions: An adaptive decomposition-based hybrid network with physical consistency,https://www.sciencedirect.com/science/article/pii/S0306261926013711?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Yecang Chen,,,
Spectral intermittency regularization for photovoltaic ramp forecasting,https://www.sciencedirect.com/science/article/pii/S0306261926012821?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Lai Jiang,,,
Multi-scale physics-informed neural network-based temperature modeling and prediction for real vehicle battery systems,https://www.sciencedirect.com/science/article/pii/S0306261926014054?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Jichao Hong,,,
Robust co-planning of nuclear power and pumped hydro storage considering multiple extreme weather events: Enhancing resource adequacy and operational flexibility,https://www.sciencedirect.com/science/article/pii/S0306261926013747?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-08-29 00:00:00+00:00,,Min Zhang,,,
