title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Defect-bound states of exciton condensate as an analogue of the Yu–Shiba–Rusinov state,https://www.nature.com/articles/s41565-026-02267-1,Nature Nanotechnology,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41565-026-02267-1,Han Woong Yeom,"Quantum condensed states in solids often reveal their fundamental nature via interactions with impurities, as epitomized by Yu–Shiba–Rusinov (YSR) bound states at magnetic impurities in superconductors. Although analogous bound states are predicted within quantum condensates of excitons, their existence has been elusive. Here we visualize in-gap electronic states bound to impurities inside an exciton condensate phase of a van der Waals crystal Ta2Pd3Te5 at 4.4 K, utilizing scanning tunnelling microscopy and spectroscopy. We find that the energies of in-gap states are correlated with the excitonic band gap, which is systematically tuned by local strain and carrier injection. Our theoretical analyses reveal that these in-gap states can be explained by charge dipoles associated with Pd atoms on Ta sites through a charge-exciton version of the YSR mechanism. Our findings introduce the analogue of YSR physics in exciton condensates and a microscopic tool to probe and control quantum properties in exciton condensates persisting up to room temperature.",nature_html,0
Ketone homologation via palladium-catalysed decarboxylative rearrangement,https://www.nature.com/articles/s41586-026-11091-5,Nature,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41586-026-11091-5,Jieping Zhu,"The decarboxylative semi-pinacol rearrangement of β-hydroxy carboxylic acids under electrochemical oxidation conditions was first reported in 19601. However, its further development has remained limited owing to stepwise radical and carbocationic pathways that induce side reactions and result in the loss of stereochemical information at the α-carbon. Herein, we demonstrate that this transformation can instead be realized through a concerted mechanism under Pd(II)/Pd(IV) catalysis. The reaction proceeds via the formation of a six-membered Pd(IV) chelate, which undergoes fragmentation accompanied by β-to-α carbon migration and carbon dioxide extrusion, with Pd(IV) serving as the redox center. This closed-shell pathway enables precise stereochemical control: the migrating carbon retains its absolute configuration, while the α-stereocenter undergoes inversion. For unsymmetrical ketones, the reaction displays markedly higher migrating-group selectivity than the classical Tiffeneau–Demjanov2 and Büchner–Curtius–Schlotterbeck reactions3. Broadly applicable to cyclic and acyclic ketones and aldehydes, this method avoids hazardous diazo reagents. Its utility is illustrated by a concise total synthesis of (+)-rupestine D, where the rearrangement serves as a key carbon-skeleton-editing step.",nature_html,0
Immune therapy engineered inside the body eases multiple sclerosis,https://www.nature.com/articles/d41586-026-02765-1,Nature,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/d41586-026-02765-1,Rachel Fieldhouse,,,0
Magic-mushroom compound blocks a severe side effect of chemotherapy in mice,https://www.nature.com/articles/d41586-026-02744-6,Nature,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/d41586-026-02744-6,Max Kozlov,,,0
Nations expanding their research programmes impose sweeping penalties for malpractice,https://www.nature.com/articles/d41586-026-02517-1,Nature,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/d41586-026-02517-1,Benjamin Plackett,,,0
Daily briefing: GLP-1 obesity drugs slow signs of ageing in mice,https://www.nature.com/articles/d41586-026-02781-1,Nature,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/d41586-026-02781-1,Jacob Smith,,,0
Synthesis of mesoporous salen polymer nanospheres for highly efficient photocatalytic extraction of uranium from seawater,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag569/8781101?rss=1,National Science Review Advance Access,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1093/nsr/nwag569,Wei Li,"Efficient uranium extraction from seawater is essential to the long-term sustainability of nuclear energy, yet the rational design of high-performance materials for this purpose remains a formidable challenge. Herein, we develop an ionization regulated self-assembly strategy to synthesize mesoporous Salen polymer nanospheres (mDSR) for photocatalytic uranium extraction. Partial ionization improves the aqueous solubility of otherwise insoluble Salen ligands and enhances their reactivity towards formaldehyde, while preserving sufficient precursor-micelle interactions for co-assembly, thereby directing the formation of ordered mesostructures. This strategy is facile, universal, and it can accommodate a series of structurally distinct Salen ligands, enabling the modular construction of mesoporous polymers with programmable molecular functions. The mDSR nanospheres feature a large pore size (6.2 nm), a high surface area (68 m2 g−1), and intrinsic photocatalytic activity. As a result, under simulated sunlight and without sacrificial agents, mDSR achieves a high uranium uptake capacity of 867 mg U g−1 from a 10 ppm U(VI) solution, outperforming most adsorbents. This protocol establishes a new paradigm for functional mesoporous polymers.",rss_oup,0
Biomimetic sebum organogel enhances cell membrane fluidity for scarless wound healing,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag567/8781100?rss=1,National Science Review Advance Access,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1093/nsr/nwag567,Dalong Ni,"Wound scars impose a substantial clinical burden and aesthetic appearance, affecting millions of individuals globally. Herein, inspired by the physical protection and signal-regulating functions of human sebum, we developed a biomimetic sebum organogel for scarless wound healing. This organogel is composed of calcium phosphotungstate sub-nanowires (PWC) and squalene (Sql)—a natural component of human sebum. The PWC gelatinize Sql with high adhesion force for wound retention and Sql release. The released Sql integrates into the plasma membrane of fibroblasts, where it enhances lipid bilayer fluidity, relieves wound tension by facilitating membrane-associated cytoskeleton adaptation, and subsequently suppresses Yes-associated protein (YAP) activation. Through this mechanism, the biomimetic sebum organogel reduces scar formation and promotes regeneration of skin appendages. Our findings present an accessible strategy for scar prevention and also highlight the regulation of cellular membrane fluidity as a promising target for mitigating fibrotic conditions across a range of diseases.",rss_oup,0
Origins of universality of copper-catalyzed azide-alkyne cycloaddition,https://www.cell.com/chem/fulltext/S2451-9294(26)00275-5?rss=yes,Chem,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1016/j.chempr.2026.103209,Valentine P. Ananikov,"Copper-catalyzed azide-alkyne cycloaddition is one of the most robust platforms to connect two molecules—utilized by scientists working across fields ranging from chemical biology to polymer topology—but its operational simplicity should not be mistaken for a naive and universal mechanism. This perspective analyzes the different catalyst identities in this click reaction and outlines a dynamic catalytic network of interconverting copper species, thereby providing a framework for more translatable and predictive copper-catalyzed click reactions.",rss_cell,0
Moderate prevalence and evolutionary causes of paralogous compensation in humans,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag565/8781095?rss=1,National Science Review Advance Access,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1093/nsr/nwag565,Yong E Zhang,"Paralogous compensation drives genetic robustness; however, its in vivo prevalence in humans and the evolutionary forces shaping it remain unresolved. We CRISPR-screened 678 human paralog pairs to identify pairs with negative genetic interactions (nGIs) or compensatory paralogs, and integrated our results with four studies to assemble two complementary resources: the 2168-pair Union and 4859-pair Ito datasets. We extrapolated to the organismal level by classifying paralogs as core (broadly compensating, 99 Union/120 Ito pairs), conditional (111/566), or non-interacting (1958/4173), and testing for enriched compensatory signals in core pairs relative to the latter two groups. Core nGI pairs consistently showed prenatal co-expression, depletion of disease genes, and enrichment for upregulation after paralog loss in cancer, though the signals were often moderate. Evolutionary analyses found similar fractions (∼2%) of core compensators among both ancient and young paralogs. Ancient pairs retain overlaps likely under pleiotropic and dosage constraints. Incomplete small-scale duplication mechanisms limit compensation among young pairs, except X-derived retrogenes, which are overrepresented among core nGIs (15%). This is consistent with selection to counteract male germline X inactivation and subsequent out-of-testis expansion. Overall, paralogous compensation is moderately prevalent in vivo in humans, shaped by multiple evolutionary forces acting on ancient or young duplicates.",rss_oup,0
Costs of demand-side solutions for decision-making,https://www.cell.com/joule/fulltext/S2542-4351(26)00352-1?rss=yes,Joule,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1016/j.joule.2026.102668,Nan Zhou,"Comprehensive, comparable cost data for demand-side climate solutions have been lacking. This study presents a validated method for assessing the costs of demand-side interventions across sectors and regions, showing that most cost less than supply-side alternatives, positioning demand-side action as an affordable, low-regret complement to the energy transition.",rss_cell,0
Catalytic strategies for hydrogen release from carriers,https://www.cell.com/joule/fulltext/S2542-4351(26)00334-X?rss=yes,Joule,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1016/j.joule.2026.102650,Geoffrey Ozin,"Chemical carriers can make hydrogen easier to store, transport, and release where it is needed. This review compares thermal, electrical, and light-driven catalytic routes for extracting hydrogen from ammonia, methane, methanol, and liquid organic hydrogen carriers. By linking carrier-specific reaction bottlenecks with active-site design, reactor engineering, purification, durability, and energy efficiency, it outlines how integrated carrier-to-hydrogen systems could support cleaner, safer, and more flexible hydrogen supply chains.",rss_cell,0
Author Correction: Machine learning model-guided selective use of temporary diverting ileostomy in rectal cancer surgery: a randomized controlled trial,https://www.nature.com/articles/s41467-026-77496-y,Nature Communications,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41467-026-77496-y,Jichao Qin,"Following publication, the second-to-last sentence of the abstract has been clarified to read “RTID offers an objective tool to support TDI decision-making” from the original “RTID offers an objective tool to support TDI decision-making without a compromise in safety.” The change is made in the HTML and PDF versions of the article.",openalex,1
High-throughput screen printing of solution-processable cholesteric liquid crystal materials enables full-color stereoscopic 3D displays,https://www.cell.com/matter/fulltext/S2590-2385(26)00361-9?rss=yes,Matter,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1016/j.matt.2026.102998,Ling Wang,"In this work, the authors report a high-throughput screen-printing strategy to develop patternable chiral photonic materials. The printed cholesteric liquid crystals can function as chiral soft templates to efficiently amplify full-color circularly polarized luminescence with a high glum of up to 1.72. The proof-of-concept application of stereoscopic 3D display is achieved by printing customized orthogonal-polarization microarrays.",rss_cell,0
Perceived humanness and empathy are dissociated in relationship advice generated by a large language model,https://www.nature.com/articles/s41467-026-77350-1,Nature Communications,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41467-026-77350-1,Sanne Peereboom,"Differentiating generated and human-written content is increasingly difficult. We examine how incentives to convey humanness and task characteristics shape perceptions of textual content across five studies. In Studies 1–2, humans and GPT-4 write relationship advice or relationship descriptions with or without instructions to appear human. New participants judge each text’s source. Instructions to appear human increase perceived humanness only for GPT-4, reducing the human advantage. Study 3 shows that these effects persist under instructions to avoid sounding like an AI model and replicate across GPT-4 and GPT-4o. Study 4 demonstrates that GPT models can produce empathy without humanness and humanness without empathy. Study 5 shows that GPT-4 increases perceived humanness by adopting informal, conversational language and other surface-level stylistic cues, whereas human writers show little adjustment. Together, the findings indicate that perceived humanness depends on incentives to appear human and the context in which writing is produced.",nature_html,0
Drought development characteristics modulate global dry–wet abrupt alternation through distinct land–atmosphere feedbacks,https://www.nature.com/articles/s41467-026-77272-y,Nature Communications,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41467-026-77272-y,Yiling Yao,"Rapid transitions from drought to extreme precipitation can trigger cascading impacts, but the influence of antecedent drought development on subsequent precipitation remains unclear. Dry–wet abrupt alternation events were identified using a global event-scale framework and separated into successive dry and wet phases. These events followed approximately 32% of droughts, and their frequency increased significantly in 58% of the 26 IPCC-SREX regions assessed in 1951-2020. Model-based analysis showed that drought-development characteristics contributed 25.7% of the predictive information distinguishing droughts with and without subsequent extreme precipitation. Rapid and intense soil-moisture decline was associated with earlier, more convective precipitation, particularly in mid- and high-latitude climate-transition regions, whereas prolonged and severe drought development was associated with delayed, more stratiform precipitation, especially in arid and tropical regions. Here, we show that antecedent drought development is linked to distinct, region-dependent pathways from drought to extreme precipitation, providing a basis for anticipating compound hydrological extremes.",nature_html,0
Ten critical questions for scaling up floating developments,https://www.nature.com/articles/s41467-026-77492-2,Nature Communications,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41467-026-77492-2,Olaf Waals,"Floating developments may offer climate-adaptive solutions to space scarcity and water management challenges in coastal, inland, and offshore contexts. We present ten research questions to explore the potential for safe, inclusive, sustainable and economically viable upscaling towards large-scale floating developments.",openalex,1
Achieving 27.35% efficiency in perovskite-organic tandem solar cells by improving near-infrared absorption with a low-band-gap acceptor,https://www.cell.com/joule/fulltext/S2542-4351(26)00354-5?rss=yes,Joule,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1016/j.joule.2026.102670,Qingdong Zheng,"A ladder-type heteroheptacene-based low-band-gap (LBG) acceptor is designed and synthesized for ternary organic solar cells (OSCs), exhibiting a high open-circuit voltage of 0.853 V and enhanced external quantum efficiencies in the long-wavelength range. By combining this LBG ternary organic subcell with a wide-band-gap perovskite subcell, the resulting perovskite-organic tandem solar cells achieve a power conversion efficiency of 27.35%.",rss_cell,0
Octahedral connectivity reconfigures interfacial carrier-selective properties for efficient perovskite solar cells,https://www.nature.com/articles/s41563-026-02722-3,Nature Materials,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41563-026-02722-3,Nam-Gyu Park,"Regulation of electron- or hole-selective interfacial properties has traditionally relied on extrinsic chemical doping. Here we report a structurally driven strategy for modulating carrier-selective electronic characteristics through the organic-cation-induced reconfiguration of lead iodide octahedral connectivity. Two closely related imidazoline-based cations, which differ by only a single heteroatom, drive the formation of one-dimensional organic lead triiodide phases with distinct octahedral-sharing patterns. Single-crystal analysis combined with theoretical calculations reveals that the variation in connectivity reshapes orbital coupling, leading to pronounced changes in the work function and absolute band-edge positions that give rise to distinct carrier-selective interfacial behaviour without the introduction of extrinsic dopants. Leveraging this structural reconfiguration-induced electronic modulation, we realize complementary charge-selective contacts in perovskite solar cells, achieving a power conversion efficiency of 27.61% (certified steady-state 27.19%), together with excellent operational stability and scalability, including 22.26% efficiency in 655-cm2 modules.",nature_html,0
Author Correction: A multicellular self-organized probiotic platform for oral delivery enhances intestinal colonization,https://www.nature.com/articles/s41467-026-76863-z,Nature Communications,2026-09-03 00:00:00 UTC,2026-09-03 00:00:00+00:00,10.1038/s41467-026-76863-z,Wenguo Cui,"In the originally published version of this article, the qPCR data shown for csgD in Fig. 3g were inadvertently duplicated from the iraM results during figure assembly. The authors have rechecked the original raw qPCR data and replaced the duplicated csgD data with the correct values. The corrected csgD data show the same overall direction of change as shown in the original figure. This correction does not affect the interpretation of the result or the conclusions of the article. The figure and Source Data are now replaced in the HTML and PDF versions of the article. For comparison, the original Fig. 3 is available as Supplementary Information accompanying this amendment.",openalex,1
Decoding Multiscale Degradation of Layered Cathodes in All‐Solid‐State Lithium Batteries: An Advanced Diagnostics‐Driven Framework,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71528?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-09-03 04:56:09 UTC,2026-09-03 04:56:09+00:00,10.1002/aenm.71528,Dongsoo Lee,"ABSTRACT
                  
                    All‐solid‐state lithium batteries (ASSLBs) with layered oxide cathodes such as LiNi
                    
                      1‐x‐y
                    
                    Mn
                    
                      x
                    
                    Co
                    
                      y
                    
                    O
                    2
                    (NMC), LiNi
                    
                      1‐x‐y
                    
                    Co
                    
                      x
                    
                    Al
                    
                      y
                    
                    O
                    2
                    (NCA), LiNiO
                    2
                    (LNO), and lithium‐rich layered oxides (LLOs) offer superior energy density and safety, yet their performance is severely limited by complex, coupled degradation mechanisms at the cathode/inorganic solid‐state electrolyte (SSE) interface and within the cathode bulk. This review establishes a Diagnosis‐Mechanism‐Mitigation (D‐M‐M) framework that decodes these multiscale degradation phenomena by cross‐validating multimodal diagnostic evidence from electronic structure to the cell level. Two categories are dissected: interfacial degradation, encompassing chemical decomposition, space‐charge layer formation, and resistive interphase growth; and bulk cathode degradation, including structural phase transitions, cation disorder, oxygen loss, and microstructural cracking. Drawing on advanced spectroscopy, microscopy, 3D imaging, and in situ/operando methods, each degradation cascade is traced from its diagnostic signature to its mechanism and to the validated mitigation it informed, from interfacial coatings to dopant engineering and microstructure optimization. Machine learning and artificial intelligence are assessed for interpreting complex diagnostic datasets and guiding predictive cathode design. The framework is further extended to practically relevant conditions (thick electrodes, low stack pressure, and large‐format cells), and the field's unresolved controversies are delineated together with the experiments that would decide them.",crossref,0
"Fearing seal die-off from bird flu, Australia moves to evacuate sub-Antarctic research station",https://www.science.org/doi/abs/10.1126/science.aem0441?af=R,AAAS: Science: Table of Contents,2026-09-03 06:00:09 UTC,2026-09-03 06:00:09+00:00,10.1126/science.aem0441,Erik Stokstad,"Watching pups’ deaths could affect the mental health of staff, officials say",crossref,0
Building a scalable climate coalition for heavy industry,https://www.science.org/doi/abs/10.1126/science.aef7190?af=R,AAAS: Science: Table of Contents,2026-09-03 06:00:09 UTC,2026-09-03 06:00:09+00:00,10.1126/science.aef7190,Jennifer Winter,"Emissions could be reduced, with minimal impact on production, while generating billions in public revenues",crossref,0
