title,link,published,source,pub_date
The dark horse of biology: how RNA is becoming a nanotool maker’s dream,https://www.nature.com/articles/d41586-026-02180-6,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Miniaturizing and modifying natural proteins with Raygun,https://www.nature.com/articles/s41586-026-10842-8,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
"Over 20,000 precolonial earthworks in the Southwest Amazonia",https://www.nature.com/articles/s41586-026-10835-7,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Climate benefit and ecological cost trade-offs for ocean iron fertilization,https://www.nature.com/articles/s41586-026-10795-y,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Photocatalytic water splitting by 2D polymer with out-of-plane carrier flow,https://www.nature.com/articles/s41586-026-10866-0,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
In situ structures of plant photosystem supercomplexes,https://www.nature.com/articles/s41586-026-10847-3,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Octahedral-coordinated Co3O4 for water electrolysis in acid,https://www.nature.com/articles/s41586-026-10851-7,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Earliest siphuncle-bearing cephalopod from the early Cambrian,https://www.nature.com/articles/s41586-026-10868-y,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Plasmonic metamaterial time crystal,https://www.nature.com/articles/s41586-026-10825-9,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
In situ structure of the poxvirus portal complex,https://www.nature.com/articles/s41586-026-10856-2,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Rational design of disordered proteins for sequence–function investigation,https://www.nature.com/articles/s41586-026-10849-1,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
A global view of human centromere variation and evolution,https://www.nature.com/articles/s41586-026-10841-9,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
A digitally controlled silicon quantum processing unit,https://www.nature.com/articles/s41586-026-10754-7,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Cretaceous zhelestid mammals are zalambdalestoids,https://www.nature.com/articles/s41586-026-10861-5,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Enzymatic glycosylation and amidation reshapes polyene bioactivity,https://www.nature.com/articles/s41586-026-10834-8,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
New-deal mortgage programmes benefited white borrowers disproportionately,https://www.nature.com/articles/s41586-026-10850-8,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Perpendicular switching of polarization in layered ferroelectrics,https://www.nature.com/articles/s41586-026-10839-3,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Sequential reading of a stepwise-shortened peptide immobilized on nanopore,https://www.nature.com/articles/s41586-026-10881-1,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Avalanche-like intercalation and intraparticle correlations in graphite,https://www.nature.com/articles/s41586-026-10862-4,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Alternating CO2 and bicycloalkane copolymerization to circular polyesters,https://www.nature.com/articles/s41586-026-10848-2,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Mitochondrial metabolism and epigenetic crosstalk drive SASP,https://www.nature.com/articles/s41586-026-10791-2,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Diverse bacterial pattern recognition receptors sense the core phage proteome,https://www.nature.com/articles/s41586-026-10852-6,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
The piezochiral effect,https://www.nature.com/articles/s41586-026-10845-5,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Was art key to ancient humans' success? The secrets of Hohle Fels cave,https://www.nature.com/articles/d41586-026-02359-x,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Why tomorrow’s nanotechnologies need support today,https://www.nature.com/articles/d41586-026-02179-z,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Earthworks spotted in the Amazon hint at huge ancient civilization,https://www.nature.com/articles/d41586-026-02367-x,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Retraction Note: Human HDAC6 senses valine abundancy to regulate DNA damage,https://www.nature.com/articles/s41586-026-10942-5,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Weight-four parity checks in a spin-shuttling architecture,https://www.nature.com/articles/s41586-026-10766-3,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Author Correction: A ductile solid electrolyte interphase for solid-state batteries,https://www.nature.com/articles/s41586-026-10945-2,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Intestinal stem cells count self-renewal divisions to switch multipotency,https://www.nature.com/articles/s41586-026-10814-y,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Strain-isolated microneedles for ambulatory hormonal and metabolic monitoring,https://www.nature.com/articles/s41565-026-02247-5,2026-07-29 00:00:00 UTC,Nature Nanotechnology,2026-07-29 00:00:00+00:00
Breaking the shuttle limitation in aqueous halogen batteries toward durable energy storage systems,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag459/8746764?rss=1,2026-07-29 00:00:00 UTC,National Science Review Advance Access,2026-07-29 00:00:00+00:00
Forecasting Extreme Temperature Events by Hankel-Augmented Contrastive Learning,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag456/8746772?rss=1,2026-07-29 00:00:00 UTC,National Science Review Advance Access,2026-07-29 00:00:00+00:00
"40,000-year-old bird carvings provide clues to how ice age humans flourished",https://www.nature.com/articles/d41586-026-02312-y,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
"Obituary: Susumu Tonegawa, Japan’s first Nobel prizewinner in physiology or medicine",https://www.nature.com/articles/d41586-026-02340-8,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Underdog ‘spin qubits’ leap forward in race to a useful quantum computer,https://www.nature.com/articles/d41586-026-02357-z,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Relapsed childhood cancers show genomic scars left by previous therapy,https://www.nature.com/articles/d41586-026-02329-3,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Artificial algal blooms could remove atmospheric carbon — but can they be used responsibly?,https://www.nature.com/articles/d41586-026-02126-y,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Relatively few Black people benefited in the 1930s and 1940s from mortgages backed by the US government,https://www.nature.com/articles/d41586-026-02246-5,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
Amazonian earthwork survey indicates ancient population was much larger than thought,https://www.nature.com/articles/d41586-026-02321-x,2026-07-29 00:00:00 UTC,Nature,2026-07-29 00:00:00+00:00
