title,link,published,source,pub_date
Data-driven construction of an imine reductase library capable of broad-scope reductive amination at equimolar substrate concentrations,https://www.nature.com/articles/s41467-026-76869-7,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
XPO1-mediated TRIM21 nuclear export reprograms TREM2+ macrophage polarization by targeting IRF3 to augment anti-PD-1 efficacy in small cell lung cancer,https://www.nature.com/articles/s41467-026-76862-0,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
"Ru-enabled dehydration-reductive amination of α-, β-hydroxy acids into amino acids",https://www.nature.com/articles/s41467-026-77053-7,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
Time-Temperature-Transformation Diagrams to Navigate the Nucleation and Quenchability of Metastable α-Li₃PS4,https://www.nature.com/articles/s41467-026-76661-7,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
An LRR-truncated NLR natural variant confers dual resistance to drought and blast in rice,https://www.nature.com/articles/s41467-026-76840-6,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
"Asian summer monsoon orbital variability directly paced by CO2 and precession, not eccentricity",https://www.nature.com/articles/s41467-026-76856-y,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
Longitudinal digital phenotyping of activity rhythms and biological aging using commercial wearables,https://www.nature.com/articles/s41467-026-76147-6,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
Rising Coastal Wave Hazards from Climate-Driven Winds and Tropical Cyclones,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag528/8768594?rss=1,2026-08-22 00:00:00 UTC,National Science Review Advance Access,2026-08-22 00:00:00+00:00
Continuously powering intelligent microrobots through an electrochemical polymer skin membrane,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag529/8768589?rss=1,2026-08-22 00:00:00 UTC,National Science Review Advance Access,2026-08-22 00:00:00+00:00
Megapixel snapshot hyperspectral imaging with high resolution Fabry–Pérot color filter array,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag526/8768588?rss=1,2026-08-22 00:00:00 UTC,National Science Review Advance Access,2026-08-22 00:00:00+00:00
Multi-objective and cross-scale inverse design of temperature-control materials via physics-constrained machine learning,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag503/8768582?rss=1,2026-08-22 00:00:00 UTC,National Science Review Advance Access,2026-08-22 00:00:00+00:00
Glucagon-like Peptide-1 Receptor Agonists and Risk of Tuberculosis in Type 2 Diabetes,https://www.nature.com/articles/s41467-026-77068-0,2026-08-22 00:00:00 UTC,Nature Communications,2026-08-22 00:00:00+00:00
