title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
What one sees depends on how far the eye has moved,https://www.nature.com/articles/s41467-026-76503-6,Nature Communications,2026-08-30 00:00:00 UTC,2026-08-30 00:00:00+00:00,10.1038/s41467-026-76503-6,Michele Rucci,"Humans explore visual scenes through frequent, rapid gaze shifts known as saccades. These movements redirect the high-acuity region of the retina toward objects of interest, thus selecting information based on location. Here, we show that saccade amplitude provides a separate and complementary form of selection, effectively filtering visual information by spatial frequency rather than location. Building on analyses of the resulting visual input signals, we examined how pattern visibility was influenced by the size of the preceding saccade. A reduction in saccade amplitude attenuates post-saccadic visual sensitivity in an amplitude-dependent range of low spatial frequencies. This effect is highly robust, so that even small changes in saccade size considerably affect visibility. We show that this phenomenon arises from the way that the magnitude-dependent kinematic characteristics of saccades transform the visual world into a spatiotemporal flow. That is, post-saccadic visibility closely follows theoretical predictions based on the spatial information that saccade transients convey within the temporal bandwidth of retinal sensitivity. Thus, saccades not only guide selection based on location, but also filter visual information based on scale, actively shaping perception.",nature_html,0
Lift-off! NASA launches Roman Space Telescope to tackle dark-energy mysteries,https://www.nature.com/articles/d41586-026-02727-7,Nature,2026-08-30 00:00:00 UTC,2026-08-30 00:00:00+00:00,10.1038/d41586-026-02727-7,Davide Castelvecchi,,,0
AI models are being used to track zoonotic diseases. Will they prevent the next pandemic?,https://www.nature.com/articles/d41586-026-02684-1,Nature,2026-08-30 00:00:00 UTC,2026-08-30 00:00:00+00:00,10.1038/d41586-026-02684-1,Heather Richardson,,,0
Thermal‐Budget‐Decoupled Integration of Freestanding Hafnium‐Based Ferroelectric Dielectrics for van der Waals Memory Transistors,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.74847?af=R,Wiley: Advanced Materials: Table of Contents,2026-08-30 07:02:06 UTC,2026-08-30 07:02:06+00:00,10.1002/adma.74847,Yen‐Fu Lin,"ABSTRACT
                  
                    Ferroelectric memories have emerged as promising candidates for nonvolatile memory and neuromorphic computing owing to their capability for direct channel modulation through polarization switching. However, the high thermal budget required for synthesis and post‐annealing processes hampers scalable integration and degrades interfacial quality. Here, we present a freestanding hafnium‐based ferroelectric strategy that enables the fabrication of high‐performance top‐gate ferroelectric field‐effect transistors (FeFETs) on van der Waals (vdW) MoS
                    2
                    channels at low temperatures without post‐annealing. The freestanding Hf
                    0.5
                    Zr
                    0.5
                    O
                    2
                    (FS‐HZO) FeFETs, featuring a metal–ferroelectric–metal–insulator–semiconductor (MFMIS) architecture, exhibit a pronounced anticlockwise normalized memory window of 0.56 V nm
                    −1
                    . They demonstrate proof‐of‐concept nonvolatile behavior with endurance exceeding 2 × 10
                    3
                    cycles, retention over 2 × 10
                    3
                    s, and stable operation up to 85°C, maintaining an on/off ratio of 10
                    6
                    and an extrapolated value of 10
                    4
                    after 10 years. Precise ferroelectric control of the MoS
                    2
                    channel conductance enables multilevel switching and synaptic plasticity, achieving high accuracy in image recognition tasks. This work provides a low‐thermal‐budget freestanding hafnium‐based integration strategy and a device‐level building block for future vdW FeFET arrays, offering a promising pathway toward energy‐efficient compute‐in‐memory and neuromorphic architectures.",crossref,0
All‐in‐One 3D Printing for Highly‐Stretchable Zn Metal Batteries: Resolving the Dilemma Between Mechanical Compliance and Electrochemical Stability,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71351?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-30 09:57:51 UTC,2026-08-30 09:57:51+00:00,10.1002/aenm.71351,Chuhong Zhang,"ABSTRACT
                  
                    Aqueous Zn‐ion batteries (ZIBs) hold great promise for flexible energy storage owing to their inherent safety and cost‐effectiveness. However, their integration into stretchable power sources remains fundamentally challenged by strain‐induced interfacial instability, which disrupts electrode‐electrolyte contact, accelerating Zn dendrite growth and parasitic reactions. Herein, we propose a material‑to‑architecture co‑design strategy using bottom‐up 3D printing to fabricate highly stretchable Zn anodes for all‐in‐one ZIBs. At the material level, intrinsic stretchability is realized through an interpenetrating polyurethane‐carbon nanotube‐carboxylated cellulose network, in which dynamic hydrogen bonding establishes electrochemically and mechanically stable interfaces that guide uniform Zn deposition and suppress parasitic reactions. At the structural level, the integration of 3D‑printed serpentine architectures strategically exploits geometric nonlinearity to decouple nominal tensile strain from localized stress via extended relaxation pathways, while enabling a compliant twisting‐bending deformation mode, thus ensuring structural robustness under repeated stretching. Consequently, under 60% tensile strain, the symmetric cell achieves stable cycling for 640 h at 1 mA cm
                    −2
                    and 1 mAh cm
                    −2
                    . Furthermore, the all‐in‐one full cell, incorporating 3D‐printed anode, cathode, and electrolyte, maintains 74.5% capacity retention after 500 cycles. This approach resolves the trade‐off between mechanical compliance and interfacial electrochemical stability, enabling high‑performance stretchable batteries for wearable electronics.",crossref,0
Proton Flux Engineering for Selective CO2 Electroreduction,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71519?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-30 10:05:59 UTC,2026-08-30 10:05:59+00:00,10.1002/aenm.71519,Xinjian Shi,"ABSTRACT
                  
                    The carbon dioxide reduction reaction (CO
                    2
                    RR) is central to carbon valorization and renewable electricity storage, yet its selectivity, efficiency, and durability depend on coordinating proton availability with electron transfer at dynamic electrochemical interfaces. Despite advances in catalysts, electrolytes, hydrogen evolution suppression, and devices, proton effects are described by isolated descriptors, such as pH, water activity, buffer capacity, cation identity, hydrophobicity, ionomer chemistry, and local alkalinity. This fragmentation obscures how protons regulate initiation, *COOH formation, *CO/formate branching, *CO coverage, C─C coupling, hydrogen evolution, and high‐flux decay. A proton‐centered perspective is needed to link atomic proton‐transfer events with interfacial microenvironments and device operation. This review establishes proton regulation as a mechanistic framework for CO
                    2
                    RR by examining proton sources, transport pathways, interfacial accessibility, hydrogen‐bond‐network reorganization, local electric fields, and proton‐coupled electron‐transfer timing. By integrating molecular mechanisms, microenvironment modulation, in situ characterization, and gas‐diffusion or membrane‐electrode architectures, we organize dispersed observations into a source–transport–utilization framework. This framework shows how proton location, dose, and temporal availability define kinetic boundaries between hydrogen evolution, one‐carbon (C
                    1
                    ) products, and multicarbon (C
                    2+
                    ) pathways, while governing stability under practical fluxes. Proton regulation guides selective, scalable, and durable CO
                    2
                    electroconversion.",crossref,0
Self‐Supported Flexible Film F‐Pt1/MnO2 With Long Bending Cyclability Towards Robust Wearable Al‐Air Batteries,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71505?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-30 10:06:56 UTC,2026-08-30 10:06:56+00:00,10.1002/aenm.71505,Feilong Gong,"ABSTRACT
                  
                    Flexible Al‐air batteries are promising power supplies for wearable electronics, yet the practical application is severely hindered by poor mechanical stability of powder‐based cathode and inferior alkaline corrosion resistance. Here, derived from a jelly‐like precursor, we develop a binder‐free self‐supported flexible film F‐Pt
                    1
                    /MnO
                    2
                    to address these issues. Combined with structural characterizations and finite element analysis simulations, the self‐supported film features interconnected hierarchical pore channels and a mechanically robust network that enhances its long bending cyclability from 0 to 180° over 5000 cycles with a slight △R/R
                    0
                    alternation of 2%. Benefiting from the binder‐free structure, the film retains structural integrity with no material exfoliation after 15 days of hot alkaline aging treatment. When employed as a cathode in a flexible Al‐air battery, it delivers a peak power density of 77.9 mW cm
                    −2
                    and stable discharge performance for over 27 h, exceeding most of the recently reported catalysts. Due to the battery's stable output under wide‐scale bending angles, a wearable device is further driven that can detect long‐term pulse signals under frequent deformation. This work provides a facile and general strategy for the rational design and fabrication of robust free‐standing film for wearable energy storage and conversion devices.",crossref,0
Weakening Local Chemical Bonds for Enhanced Thermoelectric Performance in YbMg2Sb2 Zintl Compounds,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71529?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-30 10:09:12 UTC,2026-08-30 10:09:12+00:00,10.1002/aenm.71529,Jiehe Sui,"ABSTRACT
                  
                    Alloying is a well‐established strategy for reducing lattice thermal conductivity (
                    κ
                    L
                    ) and enhancing thermoelectric performance of materials, typically explained by the Klemens model, which describes the point‐defect phonon scattering via mass and size contrasts. Yet, in certain isovalent alloyed thermoelectrics, we observe an anomalously low
                    κ
                    L
                    that falls below Klemens model predictions. Here, using YbMg
                    2
                    Sb
                    2
                    as a model system, we show that alloying Mg with isovalent Zn or Cd induces a substantial reduction in
                    κ
                    L
                    beyond that attributable to mass and size effects of the dopants alone. Density‐functional‐theory calculations demonstrate that this stems from weakened local chemical bonds, which soften and slow both acoustic and optical phonons. Reduced interatomic force constants also lead to avoided crossing, further suppressing acoustic phonon propagation. Deformation electron density analyses reveal that the weak Zn‐Sb and Cd‐Sb bonds arise from delocalized electrons within Zn
                    2
                    Sb
                    2
                    and Cd
                    2
                    Sb
                    2
                    rhomboid rings. Benefiting from this pronounced
                    κ
                    L
                    reduction and an enhanced density‐of‐states effective mass by band alignment, Cd‐alloyed YbMg
                    2
                    Sb
                    2
                    achieves a record‐high
                    ZT
                    of 1.4 at 873 K. These findings highlight the critical role of chemical bonds in reducing
                    κ
                    L
                    and provide a design principle for enabling materials with ultralow thermal conductivity through local bond tailoring.",crossref,0
Clean Tin Oxide via Volatile Additive Engineering for High‐performance Perovskite Photovoltaics,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71514?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-30 10:11:23 UTC,2026-08-30 10:11:23+00:00,10.1002/aenm.71514,Xiaoming Zhao,"ABSTRACT
                  
                    SnO
                    2
                    is a benchmark electron transport material for perovskite solar cells (PSCs). However, SnO
                    2
                    films from the conventional chemical bath deposition (CBD) are limited by impurities and defects that accelerate non‐radiative recombination and compromise device stability. Here, we present a volatile additive engineering strategy using pyruvic acid (PA) as a dual‐functional nucleation promoter and surface modulator during SnO
                    2
                    deposition. Owing to its volatility (sublimation at 145°C), PA can be effectively removed during annealing, resulting in cleaner SnO
                    2
                    surfaces with reduced residual groups. This is accompanied by a decrease in oxygen‐related defect densities in the SnO
                    2
                    layer. This improvement leads to enhanced charge recombination and improved thermal stability at the buried interface. Consequently, PA‐engineered PSCs achieve a power conversion efficiency of 26.17%, together with improved device stability, retaining &gt;80% of their initial efficiency after 900 h of continuous operation, 1000 h at 65°C, and 30 days under 30% relative humidity. Furthermore, this approach is compatible with large‐area fabrication, yielding efficiencies of 24.83% for 1 cm
                    2
                    lab‐scale cells and 20.21% for 30 cm × 30 cm industrial‐scale solar modules. These results suggest that controlling additive volatility improves CBD‐SnO
                    2
                    quality and offers a promising route for stable, scalable perovskite solar cells.",crossref,0
"Cellulose Materials Integrate Ion Transport, Interfacial Chemistry, and Structural Stability in Zinc Battery Systems",https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71473?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-08-30 10:14:01 UTC,2026-08-30 10:14:01+00:00,10.1002/aenm.71473,Hengwei Wang,"ABSTRACT
                  
                    Rechargeable zinc batteries offer a promising route toward safe, low‐cost, and sustainable energy storage, but their practical application is hindered by nonuniform ion transport, parasitic interfacial reactions, and progressive structural degradation. Cellulose is attractive because its oxygen‐containing functional groups, hierarchical fibrous structure, and processable networks can be tailored for zinc anodes, electrolytes, separators, cathodes, and flexible devices. This Review discusses recent advances in cellulose‐based materials for mild aqueous zinc‐ion batteries and alkaline zinc‐air batteries, focusing on how chemical modification, nanoscale organization, pore structure, and wet‐state mechanics affect ion conduction, electrode/electrolyte contact, and structural retention. Particular attention is given to the evidence supporting proposed mechanisms and to the distinct reaction environments of the two systems, including Zn
                    2+
                    transport and plating/stripping in mild electrolytes, and OH
                    −
                    transport, zincate redistribution, ZnO evolution, and air‐electrode processes in alkaline cells. The Review also examines performance trade‐offs, component contributions in multicomponent systems, and the limits of comparisons across different testing conditions. By linking cellulose chemistry and architecture with chemistry‐specific battery requirements, it provides practical guidance for material selection, mechanism verification, and device‐oriented design, while identifying chemical durability, dimensional stability, feedstock consistency, standardized evaluation, and scalable manufacturing as priorities for future development.",crossref,0
Cracking and Self‐Healing in a Molecular Crystal Driven by Topochemical Polymerization,https://onlinelibrary.wiley.com/doi/10.1002/anie.2717326?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-08-30 15:09:47 UTC,2026-08-30 15:09:47+00:00,10.1002/anie.2717326,Kana M. Sureshan,"ABSTRACT
                  Topochemical reactions in molecular crystals are often accompanied by severe lattice strain, frequently leading to crystal fracture and loss of crystallinity. Here we report an unusual case in which heat‐driven topochemical azide–alkyne cycloaddition (TAAC) polymerization in a non‐centrosymmetric molecular crystal induces macroscopic cracking that is followed by autonomous self‐healing. Single‐crystal x‐ray diffraction reveals a regiospecific single‐crystal‐to‐single‐crystal transformation to a helical polymer, despite large‐amplitude molecular motion and anisotropic lattice deformation (a +19.9%, b −2.9%, c −13.3%). Face‐indexing and morphology analysis correlate the crystallographic axes with macroscopic crystal dimensions, rationalizing the observed breadth expansion, length contraction, and cleavage along a weakly bound crystallographic plane. Mechanistically, crack formation originates from reaction‐induced bimorphic lattice strain, while self‐healing is driven by electrostatic attraction between oppositely charged fracture surfaces in the polar crystal, followed by continued intradomain polymerization that eliminates the bimorphic interface. Autonomous healing occurs upon completion of the topochemical polymerization in the crystalline material.",crossref,0
Harnessing Sacrificial Mechanical Bonds for Toughening Elastomers,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.74712?af=R,Wiley: Advanced Materials: Table of Contents,2026-08-30 15:30:21 UTC,2026-08-30 15:30:21+00:00,10.1002/adma.74712,Hideyuki Otsuka,"ABSTRACT
                  Sacrificial bonds serve as key energy‐dissipating motifs, governing the toughness of elastomers. Herein, we propose a robust and versatile strategy to toughen elastomers by precisely tuning the mechanochemical reactivity of sacrificial mechanical bonds through the systematic modification of stopper structures in rotaxane crosslinkers. By varying the size and number of stoppers, the quantitative relationship between the mechanochemical response of sacrificial bonds at the molecular level and the macroscopic mechanical performance of elastomers is elucidated. This is a breakthrough that expands the practical potential of elastomers and establishes a conceptual framework for the rational design of sacrificial bonds and mechanochemicallyinspired polymer systems.",crossref,0
Communication-dependent flexibility planning in digitalized distribution systems via dynamic storage reservation,https://www.sciencedirect.com/science/article/pii/S0306261926013929?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Ming Zhou,,,0
Energy resources and geopolitical conflicts: ARDL analysis of Iraq's socioeconomic dynamics,https://www.sciencedirect.com/science/article/pii/S0301421526004350?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Foued Saâdaoui,,,0
Health and nutrition returns to clean cooking fuel access across the rural-urban divide,https://www.sciencedirect.com/science/article/pii/S0301421526004854?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Camille Massié Gamard,,,0
Geopolitical risk exposure and resilience of energy support-chain trade: A multilayer network diagnosis,https://www.sciencedirect.com/science/article/pii/S0301421526004830?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Xiangyu Wang,,,0
"The rise of renewable energy: How it shapes dependency, diversity, and geopolitical risk in the European Union",https://www.sciencedirect.com/science/article/pii/S0301421526005045?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Felix Müsgens,,,0
"Building energy performance regulation, energy poverty, and health: Evidence from Türkiye",https://www.sciencedirect.com/science/article/pii/S0301421526005148?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Guillem Lopez Casasnovas,,,0
Unveil the coal-to-nuclear retrofitting potential in China by a safety-first assessment,https://www.sciencedirect.com/science/article/pii/S0306261926014066?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Yaoli Zhang,,,0
"Innovation–energy coupling under non-default power-system configurations: Transition-neutral in design, fossil-linked in financial structure",https://www.sciencedirect.com/science/article/pii/S0306261926013668?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,,Pouriya Jahangard,,,0
Insertion-dominated anion redox in high-capacity amorphous sulfide cathodes for solid-state batteries,https://www.cell.com/joule/fulltext/S2542-4351(26)00333-8?rss=yes,Joule,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1016/j.joule.2026.102649,Yuping Wu,"Conventional cathode active materials (CAMs) often face structural and interfacial challenges when integrated into all-solid-state batteries. A sulfide-based CAM design strategy that combines interfacial compatibility, structural disorder, and anion regulation enables reversible insertion-dominated multi-electron redox chemistry, delivering high specific energy, rapid kinetics, and durable cycling performance.",rss_cell,0
