title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Molecules under controlled collapse,https://www.nature.com/articles/s41565-026-02234-w,Nature Nanotechnology,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1038/s41565-026-02234-w,Emanuele Orgiu,,,0
"A climate-sensitive, contemporary multi-sphere bacterial metacommunity across the Tibetan Plateau",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag463/8750262?rss=1,National Science Review Advance Access,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1093/nsr/nwag463,Tandong Yao,"The Tibetan Plateau hosts interacting atmospheric, glacier, river, lake, and soil ecosystems, yet the organization and climatic sensitivity of their bacterial communities remain unclear. Here, we compiled a 16S rRNA gene dataset of 3373 samples across five ecosystems and nine habitats. More than 94% of Operational Taxonomic Units occurred in at least two ecosystems, and ~6% in all five, thus revealing a metacommunity in which aerosols seed glacier microbiomes, and glaciers act as sinks, filters, and relays, exporting microbes to rivers, lakes, and soils. Nevertheless, community uniqueness and core microbiomes demonstrate robust habitat filtering and distinct biogeographic fingerprints. Mean annual precipitation exerts more potent effects on richness and community uniqueness than temperature or solar radiation, but exerts opposite influences on bacterial beta diversity in glacier versus downstream ecosystems. These findings provide novel insights into microbial interconnectedness and climate sensitivity in the Tibetan Plateau.",rss_oup,0
Electronically neighbored redox active sites on polymeric carbon nitride for efficient photocatalysis pairing selective CO2 reduction and 5-hydroxymethylfurfural oxidation,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag470/8750257?rss=1,National Science Review Advance Access,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1093/nsr/nwag470,Shaohua Shen,"Cooperatively integrating CO2 reduction reaction (CO2RR) with selective organic oxidation reaction presents an attractive opportunity to simultaneously utilize photogenerated holes and electrons to realize the production of carbon-based fuels and value-added chemicals. Herein, electronically neighbored redox active sites of Cu single atoms (Cu SAs) and ultrasmall oxygen-deficient cobalt oxide (CoOV) clusters are loaded onto polymeric carbon nitride (CN) for photocatalytic CO2RR coupling with 5-Hydroxymethylfurfural oxidation reaction (HMFOR). The obtained CoOV-CuCN photocatalyst achieves a high performance for CO and 5-hydroxymethyl-2-furancarboxylic acid (HMFCA) production at the rate of 49.6 and 34.7 μmol g−1 h−1, affording the high selectivity of 91.6% and 81.6%, respectively. Spectral investigations and theoretical calculations reveal that the CoOV sites would upshift the d-band center of neighboring Cu SAs towards the Fermi level, which stabilizes the *COOH intermediate on Cu SAs and thereby promotes the CO2-to-CO conversion; moreover, the oxygen vacancies (OV) could trigger the charge redistribution at CoOV sites for efficient HMF adsorption and oxidation for HMFCA production. This work provides a reliable strategy for the rational design of surface active sites with modulated geometric and electronic configurations for paired redox photocatalysis and also paves an alternative way to promote the economic benefits and the technology upgrading of solar energy conversion and utilization.",rss_oup,0
Breaking the blue spectral barrier of non-conjugated hydrocarbons,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag469/8750243?rss=1,National Science Review Advance Access,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1093/nsr/nwag469,Jong Seung Kim,,,0
When diversification fails: Geopolitical contagion and hidden vulnerabilities in Europe’s energy transition,https://www.sciencedirect.com/science/article/pii/S0301421526004544?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Jules Sadefo Kamdem,,,0
"Trustworthy digital twins for thermal and energy conversion systems: physics-grounded modeling, uncertainty-aware prediction, and operational decision support",https://www.sciencedirect.com/science/article/pii/S0306261926012316?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Mudhar A. Al-Obaidi,,,0
"Pathways towards a carbon-free energy system: Technological advances, policy barriers, and integrated decarbonization strategies",https://www.sciencedirect.com/science/article/pii/S0306261926012043?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Praveen Barmavatu,,,0
A novel yawed wake model capturing full-wake heterogeneity with application to layout-yaw co-optimization in utility-scale wind farms,https://www.sciencedirect.com/science/article/pii/S0306261926011967?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Shinai Xu,,,0
Coordinated scheduling of a hydro-PV-hybrid energy storage system considering operational safety constraints and lifetime degradation,https://www.sciencedirect.com/science/article/pii/S0306261926012262?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Yi Cai,,,0
Integration of photovoltaic energy storage system (PV-ESS) with in-motion charging infrastructure planning and scheduling for e-buses,https://www.sciencedirect.com/science/article/pii/S0306261926012286?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,N. Nezamuddin,,,0
Negative externalities of imported electricity in interconnected power network: mechanism analysis and internalization approach,https://www.sciencedirect.com/science/article/pii/S0306261926012225?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Zhifang Yang,,,0
A bottom-up energy-economic-environmental-reliability optimization framework for hybrid renewable energy systems in near-zero energy buildings under dynamic load conditions,https://www.sciencedirect.com/science/article/pii/S0306261926011918?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Keug-Tae Kim,,,0
Turning current mismatch into advantage: suppressing hysteresis and improving operational stability in two-terminal perovskite/silicon tandem solar cells,https://www.sciencedirect.com/science/article/pii/S0306261926012328?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Daniel Walter,,,0
Does energy storage abate carbon?,https://www.sciencedirect.com/science/article/pii/S0306261926011815?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Sarah M. Jordaan,,,0
Data-driven optimization of hybrid EV charging infrastructure: From cross-city demand forecasting to dynamic allocation,https://www.sciencedirect.com/science/article/pii/S0306261926012201?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Muhammad Bakr Abdelghany,,,0
High-frequency intraday trading for battery storages,https://www.sciencedirect.com/science/article/pii/S0306261926012067?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Thorsten Staake,,,0
PVDINO: Extracting photovoltaic panels from high-resolution remote sensing imagery via vision foundation model and dual-stream edge mining,https://www.sciencedirect.com/science/article/pii/S0306261926012274?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Deren Li,,,0
Structure-generalizable large models for power system operation under topology uncertainty: A graph-based foundation learning framework,https://www.sciencedirect.com/science/article/pii/S0306261926011359?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Da Huo,,,0
When do consumers lose from variable electricity pricing?,https://www.sciencedirect.com/science/article/pii/S0301421526004088?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Saurabh Amin,,,0
Environmental taxation and biofuel production in the EU: Heterogeneous effects across producer scales,https://www.sciencedirect.com/science/article/pii/S0301421526004593?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Monica Auteri,,,0
Negatively charged cavity engineering in metal-organic clusters for efficient photocatalytic C–P coupling,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag467/8750263?rss=1,National Science Review Advance Access,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1093/nsr/nwag467,Ya-Qian Lan,"Photocatalytic cross-dehydrogenative C–P coupling is a promising and environmentally sustainable method for the synthesis of important phosphides. The development of effective photocatalysts capable of regulating the formation and release of reactive intermediates is crucial for enhancing the efficiency and selectivity of target products; but it remains an extremely challenging task. In this study, we designed and scale-up synthesized an atomically precise Co4 cluster photocatalyst with a well-defined negatively charged cavity that can be used to effectively stabilize cationic intermediates during a one-pot sequential C–P coupling reaction. This unique Co4 cluster enables the homogeneous synthesis of hydroxylated N-aryl-tetrahydroisoquinoline (N-aryl-THIQ) products with a yield as high as 99% through photothermal catalytic oxidation of molecular oxygen (O2). Subsequently, these hydroxylated products act as stable reservoirs for reactive iminium cation intermediates, which effectively promote the heterogeneous nucleophilic substitution reaction of equimolar substrates under non-illumination conditions, achieving THIQ phosphides with an optimized yield exceeding 95%. More importantly, the employed photocatalytic strategy ensures the quantitative recovery of Co4 through recrystallization and enables the preparation of phosphide products over 10-gram via cyclic reactions. The experimental results (co-crystal structure of the Co4 unit with the intermediate product, UV-vis titration, XPS, and ESR characterizations) combined with DFT calculations disclosed that the negatively charged cavity in the Co4 cluster is instrumental in mediating reactive species through electrostatic and π-conjugated interactions, resulting in hydroxylation and nucleophilic substitution reactions. This work pioneers the negatively charged cavity engineering in catalysts, which efficiently mediates cationic intermediates, thereby enabling highly efficient photocatalytic C–P coupling reactions.",rss_oup,0
Engineered interfaces in electronic materials for energy-efficient computing,https://www.nature.com/articles/s41578-026-00949-9,Nature Reviews Materials,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1038/s41578-026-00949-9,Asir Intisar Khan,"The rapid expansion of data-centric technologies has made energy-efficient computing a technological and societal priority. Modern systems consume energy not only through computation but also through data movement between logic and memory, resistive losses in interconnects and heat removal. These energy costs intensify as devices shrink and integration density increases. Architectural strategies such as three-dimensional integration reduce latency and increase functional density by bringing memory and logic closer together. Yet further scaling is progressively constrained by materials functionality at interfaces, rather than by bulk properties. In this Perspective, we argue that transport within the first few atomic layers at material boundaries will determine the efficiency and scalability of future electronic devices. First, we outline four governing principles of interface engineering: electrostatics, electronic hybridization, boundary-dominated transport and thermal and structural stability. We then derive design rules and use representative device examples to show how engineered interfaces control switching energy, electrical conduction, heat dissipation and reliability. Finally, we consider the need for low-temperature materials synthesis, interface-sensitive metrology and uncertainty-aware predictive modelling to facilitate future advances in energy-efficient computing.",nature_html,0
The critical challenges of energy diversification and environmental sustainability in the European Green Deal: Empirical evidence from European countries,https://www.sciencedirect.com/science/article/pii/S0301421526004519?dgcid=rss_sd_all,ScienceDirect Publication: Energy Policy,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,,Rana Umair Ashraf,,,0
The secret relationships that govern life on Earth,https://www.nature.com/articles/d41586-026-02387-7,Nature,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1038/d41586-026-02387-7,Richard Schiffman,,,0
Want to get more from AI? Treat every prompt like an experiment,https://www.nature.com/articles/d41586-026-02083-6,Nature,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1038/d41586-026-02083-6,James M. Dewar,,,0
Plans for nuclear-powered merchant ships must confront risks,https://www.nature.com/articles/d41586-026-02388-6,Nature,2026-08-03 00:00:00 UTC,2026-08-03 00:00:00+00:00,10.1038/d41586-026-02388-6,Zheng Wan,,,0
