title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Bioresorbable and optically readable triboelectric implants enabled by nanoscale iridophosphors,https://www.nature.com/articles/s41565-026-02256-4,Nature Nanotechnology,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41565-026-02256-4,Sang-Woo Kim,"Implantable bioelectronics are typically inaccessible once implanted, and therefore structural damage, degradation and functional loss often go undetected until complications arise. Reliance on batteries further exacerbates these risks by imposing limited lifetimes, leakage hazards and non-resorbable components that may require surgical removal. Here we report a battery-free, bioresorbable triboelectric implant that enables externally readable, on-demand visualization of device status while generating electrical output. A data-driven materials-to-device workflow combines machine-learning-assisted photophysical screening with molecular-dipole-moment-based selection to identify nanoscale iridium(III) complexes optimized for both optical reporting and triboelectric charge generation. The resulting devices integrate a transcutaneous phosphorescent readout with ultrasound-driven energy harvesting, producing outlines visible to the unaided eye under handheld illumination and generating up to 3.6 Vpp at 0.5 W cm−2 of ultrasound power. In vivo studies in mice demonstrate that optical readouts track implant position, morphology and damage, correlate structural defects with loss of electrical output, and monitor integrity and bioresorption over 38 weeks. This work establishes a transient in vivo power platform whose morphology reports on structural integrity and energy-harvesting function, offering a route to observable bioelectronic implants and supporting timely intervention.",nature_html,0
Enhancing iNKT cell immunotherapy through the integration of optimized CAR endodomains and iNKT engagers,https://www.nature.com/articles/s41467-026-76718-7,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76718-7,Anastasios Karadimitris,"iNKT cells are emerging as a highly promising immunotherapy platform for the treatment of cancer. To maximise the anti-cancer activity of CAR-iNKT against the blood cancer multiple myeloma we investigated optimal CAR designs and their combination with new iNKT-specific engagers. We find that amongst five different CAR endodomains, underpinned by increased avidity and a cross talk between Plexin D1 on CAR-iNKT and Semaphorin 4 A on myeloma cells, BCMA CD28z CAR-iNKT exert the highest anti-myeloma activity. Notably, CD28z CAR-iNKT outperform their CAR-T counterparts. To expand the anti-myeloma potential of CAR-iNKT, we designed and validated a high efficacy BCMA iNKT-specific engager which exerts significant anti-myeloma activity in conjunction with adoptively transferred iNKT cells. Finally, combined, dual target therapy with FCRL5 CAR-iNKT and BCMA iNKT engagers outperforms FCRL5 CAR-iNKT and limits immune escape of FCRL5-negative myeloma. Thus, optimised iNKT-based, dual-target, dual-modality immunotherapy has enhanced anti-tumor activity against multiple myeloma and potentially other malignancies.",nature_html,0
Epigenetic repression of IL-1β by C1QBP restricts Dectin-1-mediated host defense against murine invasive candidiasis,https://www.nature.com/articles/s41467-026-76756-1,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76756-1,Xin-Ming Jia,"Invasive candidiasis, predominantly caused by Candida albicans, threatens immunocompromised individuals with high mortality. Dendritic cell-derived interleukin-1β, orchestrated via Dectin-1-mediated β-glucan recognition, is central to antifungal defense. While the Dectin-1/Syk/CARD9 axis governing Il1b transcription is defined, the epigenetic regulatory mechanisms remain elusive. Here, we identify Complement C1q binding protein (C1QBP) as a critical negative regulator of Dectin-1-mediated interleukin-1β production. C1QBP sequesters phosphorylated protein kinase C δ in the cytoplasm, preventing its nuclear transport. Nuclear phosphorylated-PKCδ activates the RNF20/RNF40 ubiquitin ligase complex, which recruits the methyltransferase DOT1L to catalyze histone H3 lysine 79 trimethylation at the Il1b locus to promote its transcription. DC-specific C1QBP depletion enhances interleukin-1β secretion, amplifies protective T helper 17 cell responses, and improves host resistance to systemic C. albicans infection in mice. Collectively, our findings establish C1QBP as a key checkpoint in a PKCδ-dependent epigenetic pathway that constrains antifungal immunity, highlighting its therapeutic potential for invasive fungal diseases.",nature_html,0
Determinants of functional burden pleiotropy and gene dosage responses across human traits,https://www.nature.com/articles/s41467-026-76676-0,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76676-0,Sébastien Jacquemont,"Pleiotropic and monotonic effects of gene dosage are central to understanding comorbidities in developmental pediatric and psychiatric disorders, yet the underlying biological processes are not well characterized. Here we develop a functional burden analysis to investigate the association of all protein-coding copy-number variants, genome-wide, with 43 complex traits in approximately 500,000 UK Biobank participants. We test variant associations disrupting 172 tissue or cell-type gene sets, finding associations for all traits, which we replicate in the All of Us cohort. Functional burden pleiotropy, defined as the number of traits significantly associated with a gene set, correlates with genetic constraint and is higher for brain than non-brain functions, even after normalizing for genetic constraint. Levels of pleiotropy, measured by burden correlation, are similar in deletions and loss-of-function single-nucleotide variants, and higher than in common variants and duplications. Most gene dosage responses are non-monotonic, with deletions and duplications showing same-direction effects, and monotonic responses decrease with genetic constraint. We observe associations between functional gene sets and traits for either deletions or duplications, but rarely both, with negatively correlated effect sizes. Together, these results link genetic constraint and brain-specific mechanisms to the whole-body multimorbidity of neurodevelopmental and psychiatric conditions.",nature_html,0
Dynamism and evolvability in nucleic acid enzymes,https://www.nature.com/articles/s41467-026-76473-9,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76473-9,John C. Chaput,"Protein dynamism and evolvability are key parameters linking enzyme flexibility to adaptive potential, yet how these concepts apply to nucleic acid enzymes remains largely unexplored. Here, we propose that threose nucleic acid (TNA), a genetic polymer that is more conformationally restricted than DNA, may be evolutionarily constrained by its preorganized backbone. RNA-cleavage profiles comparing the well-known 10-23 DNA enzyme (DNAzyme) with two in vitro selected TNA enzymes (threozymes) reveal striking differences in their temperature dependence. While the DNAzyme catalyzed reaction is optimal at 37 °C and weakly active at 50 °C, threozymes display the opposite trend, suggesting that TNA catalysis must overcome a higher free-energy barrier than DNA catalysis. Consistent with this view, the reaction becomes less temperature dependent for threozymes that operate with more flexible active sites. Together, these findings highlight the importance of backbone structure as a critical parameter for evolvability with implications for RNA world models and biomedical applications.",nature_html,0
Tunable arbitrarily located quasi-corner states in multiphase weak topological insulator,https://www.nature.com/articles/s41467-026-76594-1,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76594-1,Dezhi Tan,"In the established symmetry-based higher-order topological insulator (HOTI) phase classification, zero-dimensional (0D) topological states are treated as a pure bulk topology phenomenon determined only by symmetry indicators. Here we report unconventional compactly supported 0D topological states termed as quasi-corner states located protected by two-dimensional (2D) weak topology at desirable vacancy-defects in 2D anisotropic honeycomb lattices (AHLs). Two weak topological indexes are derived to classify four topological phases and the corresponding positions of Wannier charge center. The emergence of quasi-corner state at the boundary site requires that the Wannier center is located at the site’s broken bond. Quasi-corner states do not exist under strong topological phase. At single vacancy defect, the three weak topological phases correspond to three quasi-corner states localized at different sites, which enables localization position tuning by uniaxial strain. Topology-protected long-range coupling with dynamic oscillation of coupled quasi-corner states is also observed and allows flexibly tunable light localization.",nature_html,0
TogoPhosTAC as a delivery-ready platform for targeted protein dephosphorylation,https://www.nature.com/articles/s41467-026-76725-8,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76725-8,Po-Han Chen,"Phosphorylation-targeting chimeras (PhosTACs) enable targeted protein dephosphorylation by recruiting phosphatases through induced proximity. However, the direct recruitment of phosphatase subunits or holoenzymes with small molecules remains challenging, as suitable ligands are scarce and often compromise enzymatic activity or cellular function. Here, we present togoPhosTAC, a hybrid modality that integrates a small-molecule PhosTAC, an engineered FKBP12F36V-phosphatase, and a lipid nanoparticle delivery system. This strategy allows delivery of preassembled PhosTAC–FKBP12F36V-phosphatase complexes or PhosTAC–phosphatase mRNA, enabling rapid and efficient intracellular dephosphorylation. We demonstrate that togoPhosTAC can selectively dephosphorylate EGFR, α-synuclein, and tau in biological contexts, providing a versatile strategy that circumvents the need for genetically engineered phosphatases. We also find togoPhosTAC further enhances tau dephosphorylation as well as its disaggregation in cellulo. Importantly, intrahippocampal or intranasal delivery of togoPhosTAC in PS19 tau transgenic male mice leads to a marked reduction in pathological tau phosphorylation across multiple sites (Ser202, Thr205, Thr231, Ser396, and Ser404), decreases pathological tau burden in related brain regions, and improves Alzheimer’s disease–related behavioral deficits. Together, these findings establish a versatile and generalizable approach for precise protein dephosphorylation in disease-relevant systems, overcoming key limitations in phosphatase-recruiting drug discovery.",nature_html,0
Eradication of MRSA biofilm-associated implant infections by low-immunogenic sustained-release lysostaphin fused to thermosensitive polypeptides,https://www.nature.com/articles/s41467-026-76664-4,Nature Communications,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1038/s41467-026-76664-4,Weiping Gao,"Staphylococcal bacteria, particularly methicillin-resistant Staphylococcus aureus (MRSA), are responsible for intractable infections—especially those associated with implants—through biofilm formation, presenting a worldwide menace. Antibacterial enzymes like lysostaphin (Lst) are promising for combating staphylococcal infections but limited by poor stability, high immunogenicity, and suboptimal pharmacokinetics, which hamper their clinical translation as antibiotic alternatives. Herein, we report a strategy of fusing thermosensitive elastin-like polypeptides (ELPs) to Lst to overcome these inherent drawbacks and eradicate MRSA biofilm-induced implant infections. Guided by AlphaFold2, we rationally engineered a chimeric Lst-ELP fusion protein that preserves potent lytic activity, demonstrates markedly enhanced stability, and exhibits substantially reduced immunogenicity relative to free Lst. The thermosensitivity of Lst-ELP enables in situ formation of a sustained-release depot upon subcutaneous injection, translating to an increased maximum tolerated dose, improved pharmacokinetics, and optimized biodistribution. Consequently, a single injection of Lst-ELP not only fully eradicated MRSA biofilms on implants and MRSA from the bloodstream and wound tissues, but also eliminated local and systemic inflammatory responses. This approach achieved complete clearance of MRSA biofilm-associated implant infections without adverse effects, highlighting its potential for clinical translation.",nature_html,0
Supramolecular coordination homogenizes multi-cation wide-band-gap perovskites for high-voltage all-perovskite tandem solar cells,https://www.cell.com/joule/fulltext/S2542-4351(26)00321-1?rss=yes,Joule,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1016/j.joule.2026.102637,Hin-Lap Yip,"This study presents a supramolecular strategy employing a crown ether and a Cs salt for wide-band-gap perovskite solar cells. This approach enables efficient and stable double-junction all-perovskite tandem solar cells, achieving 30.35% efficiency alongside exceptional photostability with a T95 of 518 h.",rss_cell,0
Hydrogen bonding: a double-edged sword in aqueous ammonium-ion batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag490/8761758?rss=1,National Science Review Advance Access,2026-08-14 00:00:00 UTC,2026-08-14 00:00:00+00:00,10.1093/nsr/nwag490,Bao-Lian Su,"Hydrogen bonding plays a double-edged role in ammonium-ion batteries, facilitating ion transport and flexible storage while inducing instability. Rational regulation of these interactions is crucial for achieving high-performance.",crossref,0
